video_id,title,description,body_part,bodyweight,cable,barbell,dumbbell,band,video_url
45,Goblet Squat,This is a cable workout targeted to Quads.,Legs,f,t,f,f,f,S:\video-downloads\cables\m-gym-legs-cable-goblet-squat.mp4
46,Chest Fly,This is a dumbbell workout targeted to chest.,Chest,f,f,f,t,f,S:\video-downloads\dumbells\male-dumbbell-chest-fly-front.mp4
47,Neutral Overhead Press,This is a dumbbell workout targeted to shoulders.,Shoulders,f,f,f,t,f,S:\video-downloads\dumbells\male-dumbbell-neutral-overhead-press-front.mp4
48,Reverse Lunge,This is a dumbbell workout targeted to quads.,Legs,f,f,f,t,f,S:\video-downloads\dumbells\male-dumbbell-reverse-lunge-front.mp4
49,Wood Chopper,This is a dumbbell workout targeted to obliques.,Abdominals,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-abdominals-dumbbell-wood-chopper.mp4
50,Single Arm Row,This is a dumbbell workout targeted to back.,Back,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-backs-dumbbell-single-arm-row.mp4
51,Twisting Curl,This is a dumbbell workout targeted to biceps.,Biceps,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-biceps-dumbbell-twisting-curl.mp4
52,Bench Press,This is a dumbbell workout targeted to chest.,Chest,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-chest-dumbbell-bench-press.mp4
53,Bulgarian Split Squat,This is a dumbbell workout targeted to glutes.,Glutes,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-glutes-dumbbell-bulgarian-split-squat.mp4
54,Romanian Deadlift,This is a dumbbell workout targeted to hamstrings and quads.,Legs,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-glutes-dumbbell-romanian-deadlift.mp4
55,Calf Raise,This is a dumbbell workout targeted to calves.,Legs,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-legs-dumbbell-calf-raise.mp4
56,Goblet Squat,This is a dumbbell workout targeted to quads.,Legs,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-legs-dumbbell-heels-up-goblet-squat.mp4
57,Lateral Raise,This is a dumbbell workout targeted to shoulders.,Shoulders,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-shoulders-dumbbell-lateral-raise.mp4
58,Laying Reverse Fly,This is a dumbbell workout targeted to shoulders.,Shoulders,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-shoulders-dumbbell-laying-reverse-fly.mp4
59,Skullcrusher,This is a dumbbell workout targeted to triceps.,Triceps,f,f,f,t,f,S:\video-downloads\dumbells\m-gym-triceps-dumbbell-skullcrusher.mp4
